Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
"Aquí puedes acceder a una serie de textos en español que te ayudarán a ejercitar y mejorar tus recursos de lectura y comprensión.

Han sido redactados por profesores de larga trayectoria en la enseñanza del idioma y son de gran utilidad para alumnos de los niveles principiante A1, elemental A2 e intermedio B1.

Cada lectura concluye con 5 preguntas de opción múltiple destinadas a evaluar la comprensión lograda. Gracias a ellos reforzarás tu vocabulario, mejorarás tu gramática y reconocerás expresiones propias del español. Son gratis, diseñados por nivel de complejidad y pueden imprimirse.",,No Topic,,,,
arturocordova 17,,No Topic,,,,
Asesoría  en el tema de seguridad social y la valoración de las prestaciones que ofrece,,IESS,,,,
Asesoría en la creación de planes de ahorro y retiro,,Renuncia/Despido/Desahucio,,,,
asesoria financiera,,Otros servicios,,,,
"asesoria financiera, tributaria contable",,Otros servicios,,,,
"ASOCIACION CFE-PYPSA-CVA-ICA
Solicito una cotizacion para estudio actuarial 2017",,Jubilacion Patronal,,,,
aun estan buscando,,No Topic,,,,
aun estan buscando gente para su empresa,,trabaje con nosotros,,,,
Aún siguen receptando currículum???,,trabaje con nosotros,,,,
avaluo de propiedades,,Otros servicios,,,,
ayuda,,No Topic,,,,
ayudar,,No Topic,,,,
ayudeme por favor talves hustedes realizan ESTUDIO DE FACTIBILIDAD PARA LA CREACION IMPLEMENTACION Y SOSTENIBILIDAD DE UNA EMPRESA COMUNITARIA,,Otros servicios,,,,
Bnas tardes quería saber si me pueden ayudar con una liquidación patronal,,Jubilacion Patronal,persona,0,,
Brindan cursos?,,Charlas/Capacitaciones,,,,
"bueanas tardes, por favor, para obtener el informe/estudio de actuaria desde ese link..por donde debo acceder, ya se efectuó el pago y se ingreso los datos, la semana anterior y ya nos enviaron factura,",,Facturacion/Retencion/Cobros,,,,
Buen dia,,Greeting,,,,
buen dìa,,Greeting,,,,
Buen dia como se liquida la jubilacion patronal por despido intenpestivo tengo 21 años,,Jubilacion Patronal,persona,0,,
"buen dia estimada el dia de hoy estan laborando
le saludo de la compañia Grifine",,Greeting,,,,
Buen dia necesito una cotizacion sobre un estudio actuarial para una empresa,,Jubilacion Patronal,empresa,0,,
buen día por favor me podrían ayudar con información o contactos para su ayuda ,,Contacto,,,,
BUEN DIA POR FAVOR NECESITO LA DIRECCION Y TELEFONO,,Contacto,,,,
Buen dia porfavor necesito descargar mi acta de finiquito,,Renuncia/Despido/Desahucio,,,,
buen dia puedo hacer una pregunta,,Greeting,,,,
buen dia soy diego perez mi pregunta es si el contrato es por obra al final tengo q pagar el desahucio,,Renuncia/Despido/Desahucio,,,,
BUEN DIA SOY UN AFILIADO CESANTE DEL IESS. TENGO 60 ANOS. PERO DESDE EL 2008 NO HE APORTADO.APORTE DURANTE 27 ANOS. QIE TENDRIA QUE HACER PARA JUBILARME? ,,IESS,,,,
"Buen dia, disculpe quisiera saber cual es el costo del calculo actuarial",,Jubilacion Patronal,empresa,0,,
"BUEN DIA, ME PUEDEN DECIR QUE PROFESIONAL SE ENCARGA DEL ESTUDIO DE LA JUBILACION PATRONAL Y DESAHUCIO",,Jubilacion Patronal,,,,ambivalente
"BUEN DIA, ME PUEDEN DECIR QUE PROFESIONAL SE ENCARGA DEL ESTUDIO DE LA JUBILACION PATRONAL Y DESAHUCIO",,Renuncia/Despido/Desahucio,,,,ambivalente
Buen dia......como y cuando debería ponerle asunto al tema de la jubilaciòn patronal....desde cuantos años uno puede gozar de ese derecho?,,Jubilacion Patronal,persona,0,,
"BUEN DIA…MI CONSULTA ES LA SIGUIENTE, TENGO 40 AÑOS DE TRABAJO EN LA MISMA EMPRESA LA CUAL YA PRESENTE LOS DOCUMENTOS PARA LA JUBILACION PATRONAL TODO OK , MI EDAD ES DE 57 AÑOS EN EL IESS TENGO 480 APORTACIONES Q CORRESPONDEN A 40 AÑOS, LA PREGUNTA ES CON MI EDAD Y MIS APORTACIONES PUEDO ACCEDER A LA JUBILACION EN EL SEGURO SOCIAL ?????",,Jubilacion Patronal,,,,ambivalente
"BUEN DIA…MI CONSULTA ES LA SIGUIENTE, TENGO 40 AÑOS DE TRABAJO EN LA MISMA EMPRESA LA CUAL YA PRESENTE LOS DOCUMENTOS PARA LA JUBILACION PATRONAL TODO OK , MI EDAD ES DE 57 AÑOS EN EL IESS TENGO 480 APORTACIONES Q CORRESPONDEN A 40 AÑOS, LA PREGUNTA ES CON MI EDAD Y MIS APORTACIONES PUEDO ACCEDER A LA JUBILACION EN EL SEGURO SOCIAL ?????",,IESS,,,,ambivalente
"buen tardes, tal vez realizan revalorizacion de bienes muebles",,Otros servicios,,,,
"Buena día, Ustedes son broker?",,Greeting,,0,,
"buena tarde, donde se pueden localizar, están en Mexico",,Contacto,,,,
Buenas días q significa seguro de desahucio,,Renuncia/Despido/Desahucio,persona,0,,
Buenas noches,,Greeting,,,,
"Buenas noches ayudame despejando la inquietud la jubilacion patronal es igual a la jubilacion iess, cuando uno se jubila recibe una sola pension del IESS o son dos pensiones que conforman una sola es decir la pension patronal + pension del Iess, es cierto o no.

ademas uno al Jubilarse recibe un dinero por concepto de los años de trabajo es verdad o no.

Gracias por despejar mis dudas.",,Jubilacion Patronal,,,,ambivalente
"Buenas noches ayudame despejando la inquietud la jubilacion patronal es igual a la jubilacion iess, cuando uno se jubila recibe una sola pension del IESS o son dos pensiones que conforman una sola es decir la pension patronal + pension del Iess, es cierto o no.

ademas uno al Jubilarse recibe un dinero por concepto de los años de trabajo es verdad o no.

Gracias por despejar mis dudas.",,IESS,,,,ambivalente
buenas noches disculpe quiero saber quien es el que paga la pensión jubilar,,IESS,,,,ambivalente
buenas noches disculpe quiero saber quien es el que paga la pensión jubilar,,Jubilacion Patronal,,,,ambivalente
"Buenas noches mi pregunta es si tengo derecho a la jubilación patronal , yo trabajé en el MIES  desde el año 1976 al 2008.  no pude jubilarme vendí mi renuncia  y   tuve que seguir trabajando  en empresas privadas y logre jubilarme en el IEES   y no e recibido nada de jubilación patronal será que tengo derecho",,Jubilacion Patronal,,,,
"Buenas noches necesito que por favor me ayuden con una cotizacion para el calculo actuarial del 2018 para la empresa Exoticgardens S.A. el ruc es 1792481082001, el correo es evggallardo@gmail.com Mi nombre es Lucy Araque  Muchas gracias",,Jubilacion Patronal,empresa,0,,
buenas noches por favor deseo que me asesoren sobre un asunto de jubilación,,IESS,,,,
buenas noches quiero saber si puedo jubilarme a los 21 años por jubilación patronal pero mis jefes no quieren que podría hacer,,Jubilacion Patronal,,,,
"Buenas noches tengo una duda, puedo hacer un estudio actuarial en estos primeros días de dic sin necesidad de esperar que finalice el año?",,Jubilacion Patronal,,,,
Buenas noches yo trabajo 30 años en una empresa si renunció  voluntariamente  pierdo  el derecho a la jubilación  patrocinado al,,Jubilacion Patronal,,,,ambivalente
Buenas noches yo trabajo 30 años en una empresa si renunció  voluntariamente  pierdo  el derecho a la jubilación  patrocinado al,,Renuncia/Despido/Desahucio,,,,ambivalente
"Buenas noches, ¿me podria explicar el calculo de la decima tercera y cuarta pension por jubilacion por vejez?.",,IESS,,,,
"Buenas noches:
MI esposa es docente con 19 años de servicio, tiene discapacidad física en cuanto a sus articulaciones, pasa con medicamentos para su enfermedad ARTRITIS REUMATOIDE, PROBLEMAS DE COLUMNA, tiene un carnet de discapacidad física con el 43%, ya no puede dar clases por que se le complica estar mucho tiempo parada y sus dedos de la manos ya no tienen mucha fuerza, y tiene mucho dolor de sus articulaciones, tiene certificados del IESS en donde consta que su enfermedad que va deteriorando su calidad de vida… mi pregunta es ¿ puede jubilarse por invalidez y cuanto recibirá de dinero de liquidación y cuánto mensual? muy amable por ayudarme.",,IESS,,,,
Buenas tarde quisiera saber si el seguro social tambien me tiene q liquidar tambien como me lo esta haciendo el patrono,,Renuncia/Despido/Desahucio,,,,
Buenas tarde una pregunta espero que me ayude .quiero jubilarme tengo 60 años de edad y 38 años  de trabajo como docente y de aportaciones 360.mi pregunta es puedo renunciar y jubilarme por el SEIS .gracias .espero su contestación,,IESS,,,,
Buenas tardes,,Greeting,,,,
buenas tardes,,Greeting,,,,
"buenas tardes 
hemos recibido una factura 
por parte de ustedes 
Factura 001-002-000003398 ACTUARIA CONSULTORES CIA. LTDA. Avender",,Facturacion/Retencion/Cobros,,,,
"BUENAS TARDES 
LE SALUDA MAYRA DE LA EMPRESA MEGA PRIMAVERA ",,Greeting,,,,
"Buenas tardes 
Me podria ayudar con un correo electronico para enviar mi hoja de vida",,trabaje con nosotros,,,,
"Buenas tardes 
Me puede ayudar por favor con la cotización para un estudio actuarial del año en curso 
agradezco su gentil colaboración ",,Jubilacion Patronal,empresa,NP,,
buenas tardes como se calcula el desahucio cuando renuncio me podria dar la formula,,Renuncia/Despido/Desahucio,persona,0,,
Buenas tardes cuanto me costaría realizar un cálculo del proporcional de jubilación patronal por 21 años de servicios.,,Jubilacion Patronal,empresa,0,,
"Buenas tardes Daniela, por favor ayudeme debo aplicar el desahucio por terminación laboral de empleada domestica que trabajo 10 meses",,Renuncia/Despido/Desahucio,,,,
Buenas tardes favor me podria ayudar con una cotizacion para estudio actuarial de una empresa ,,Jubilacion Patronal,empresa,0,,
Buenas tardes favor solicito la confirmación de unas personas a la Charla de Estudio Actuarial: Interpretación de los Beneficios de Jubilación Patronal e Indemnizaciones Laborales y su tratamiento tributario.,,Charlas/Capacitaciones,,,,
buenas tardes fr. una consulta,,Greeting,,,,
Buenas tardes hace unos dias solicite la cotizacion de un estudio actuarial para mi compañia pero hasta ahora no he recibido nada y me interesa poder tenerlo dentro de este mes estoy ubicada en la ciudad de Guayaquil,,Jubilacion Patronal,empresa,NP,,
"buenas tardes mañana a la empresa trinity en cuenca, necesito una cotizacion sobre el estudio ACTUARIAL
ATT MARCIA FLORES 0993352766",,Jubilacion Patronal,,,,
Buenas tardes me ayudan con su correo electronico. Po favor,,Contacto,,,,
Buenas tardes Me gustaría saber si ustedes podrían ofrecer un servicio de capacitación respecto a la jubilación patronal para los miembros del staff de la Delegación de la Unión Europea,,Jubilacion Patronal,empresa,0,,
Buenas tardes Me interesa que me elaboren el estudio actuarial?  Cual es el costo?,,Jubilacion Patronal,empresa,0,,
Buenas tardes me llamo Mercedes tengo 58 años pero tengo 37 aportaciones podría jubilarme ?,,IESS,,,,ambivalente
Buenas tardes me llamo Mercedes tengo 58 años pero tengo 37 aportaciones podría jubilarme ?,,Jubilacion Patronal,,,,ambivalente
Buenas tardes Me podria ayudar con un correo electronico para enviar mi hoja de vida,claro con gusto: seleccion@actuaria.com.ec,trabaje con nosotros,,0,,
Buenas Tardes me podría explicar sobre el Art. 24 de la RESOL. C.D. 100 DE 2006-02-21,,Greeting,,,,
Buenas tardes me podrian ayudar con una inquietud en el cálculo del estudio actuarial los jubilados son considerados para el cálculo de actuaria ?,,Jubilacion Patronal,,,,
Buenas tardes mi consulta es para mi padre que es servidor público tiene cáncer y estamos en trámite para conseguir el conadis en caso de jubilación con el conadis hay un tipo de beneficio o ayuda ?,,IESS,,,,ambivalente
Buenas tardes mi consulta es para mi padre que es servidor público tiene cáncer y estamos en trámite para conseguir el conadis en caso de jubilación con el conadis hay un tipo de beneficio o ayuda ?,,Jubilacion Patronal,,,,ambivalente
"Buenas tardes mi estimada Daniela, quisiera saber si una pyme esta obligada a calcular la provision de jubilacion patronal y desahucio",,Jubilacion Patronal,empresa,0,,ambivalente
"Buenas tardes mi estimada Daniela, quisiera saber si una pyme esta obligada a calcular la provision de jubilacion patronal y desahucio",,Renuncia/Despido/Desahucio,,,,ambivalente
Buenas tardes mi pregunta es las viudas reciben solo el montepío o también los decimos gracias,,IESS,,,,
Buenas tardes mi suegro estuvo casi dos años aportando al iess pero el falleció y con mi suegra no se casaron que beneficios tiene mi suegra con el iess gracias,,IESS,,,,
buenas tardes necesito me ayuden con una cotizaciòn de un estudio actuarial 2018,,Jubilacion Patronal,persona,0,,
"BUENAS TARDES NECESITO REALIZAR UNA TRANSFERENCIA PARA PAGAR UNA FACTURA , AYUDEME CON LOS DATOS POR FAVOR",,Facturacion/Retencion/Cobros,,,,
"buenas tardes por favor necesito que me ayuden con una cotizacion del calculo de reservas 2016-2017, al correo de clinicasanmateo@hotmail.com",,Jubilacion Patronal,,,,
buenas tardes por favor yo pedi que me ayuden con una cotizacion para la empresa Sergorey pero no he tenido respuesta necesito mandar a elaboara el informe actuarial,,Jubilacion Patronal,empresa,NP,,
buenas tardes quisiera saber un poco mas sobre las capacitaciones de gestion humana,,Charlas/Capacitaciones,empresa,0,,
Buenas tardes requiero por favor el servicio del estudio actuarial,,Jubilacion Patronal,persona,,,
"Buenas tardes Si es de un fallecido, pueden cobrar los hijos la jubilacion patronal?",,Jubilacion Patronal,persona,0,,
"Buenas tardes soy Miriam, trabajo ya 30 años en una misma empresa, quiero saber  yo puedo jubilarme cuando ya cumpla 60 años a pesar que yo ya deje de trabajar en el 2019",,Jubilacion Patronal,persona,0,,
buenas tardes tal vez me podría indicar quiene tienen derecho a solicitar la reliquidación del montepío?,,IESS,persona,0,,
Buenas tardes tengo 31 alos laborando como empleada domestica y 53 años de edad cuanto me faltaria para jubilarme,,IESS,,,,ambivalente
Buenas tardes tengo 31 alos laborando como empleada domestica y 53 años de edad cuanto me faltaria para jubilarme,,Jubilacion Patronal,,,,ambivalente
buenas tardes tengo 54 año y 30 años aportado siempre fueron  aportados por la misma empresa no tengo la edad para jubilarme cuando tenga la edad tendria algun problema o reducion  en el cobro por no seguir aportando ya q yege a un retiro voluntario,,Jubilacion Patronal,,,,
"Buenas tardes Tengo una pregunta Si renunció a mi trabajo donde estuve 22 años 4 meses, en la misma empresa Pierdo la proporcional de la jubilación patronal",,Jubilacion Patronal,persona,0,,
"BUENAS TARDES YO QUISIERA SABER POR QUE MOTIVO NO TENGO DERECHO A ACOGERME A LO DISPUESTO EN LA CLAUSULA VIGÉSIMA SEXTA,DE LA RESOLUCIÓN CD-544,EXPEDIDA EL 4 DE AGOSTO DEL 2017 YA QUE PEDI LA RELIQUIDACIÓN DE MI MONTEPÍO Y ME RESPONDEN QUE NO POR EL TIEMPO DE FALLECIMIENTO DE MI ESPOSO YO CREO QUE LA LEY NOS AMPARA A TODOS GRACIAS",,IESS,,,,
Buenas tardes yo renuncie a mi trabajo y queria saber en que tiempo me tienen que dar la liquidación y cual es el valor de la misma gracias,,Renuncia/Despido/Desahucio,,,,
buenas tardes yo soy empleda publica y estoy bajo el regimen del codigo de trabajo ya voy a cumplir 30 años de servicio en la institucion que laboro tengo 51 años tengo la patronal completa en la que yo puse la solicitud de jubilacion patronal en  julio del 2013 pues ahi cumpli 25 años de servicio  desde ahi esta el proceso tambien tengo cierto grado de discapacidad de mi brazo derecho tengo el carnet con el 32 por ciento de discapacidad mi pregunta es podria jubilarme en julio del 2018 que cumplo treinta años `con la jubilcaion patronal pues soy del codigo de trabajo,,Jubilacion Patronal,,,,
"buenas tardes  soy empleado de la espoch  ayudante de audiovisuales, con  49 años de servicio ininterrumpido tengo 58 años de edad  consto actualmente en el régimen de la LOSEP  no me pasaron al código de trabajo es beneficios para mi jubilación estar  en la LOSEP, con cuanto me liquidarian  tanto en el IES como en la ESPOCH? perdón 40 años de servicio, 59 años de edad.",,IESS,persona,0,,ambivalente
"buenas tardes  soy empleado de la espoch  ayudante de audiovisuales, con  49 años de servicio ininterrumpido tengo 58 años de edad  consto actualmente en el régimen de la LOSEP  no me pasaron al código de trabajo es beneficios para mi jubilación estar  en la LOSEP, con cuanto me liquidarian  tanto en el IES como en la ESPOCH? perdón 40 años de servicio, 59 años de edad.",,Jubilacion Patronal,persona,0,,ambivalente
"buenas tardes
como se calcula el desahucio cuando renuncio
me podria dar la formula",,Renuncia/Despido/Desahucio,,,,
"BUENAS TARDES
disculpe una consulta
estoy por jubilarme patronalmente y por iess
por discapacidad
mi consulta es si puedo percibir las dos pensiones???",,IESS,,,,ambivalente
"BUENAS TARDES
disculpe una consulta
estoy por jubilarme patronalmente y por iess
por discapacidad
mi consulta es si puedo percibir las dos pensiones???",,Jubilacion Patronal,,,,ambivalente
"Buenas tardes
Disculpe
Quería realizar una consulta
Sobre un cálculo de una acta de finiquito",,Renuncia/Despido/Desahucio,,,,
"Buenas tardes
hace unos dias solicite la cotizacion de un estudio actuarial para mi compañia pero hasta ahora no he recibido nada y me interesa poder tenerlo dentro de este mes
estoy ubicada en la ciudad de Guayaquil",,Jubilacion Patronal,,,,
"BUENAS TARDES
LE ESTOY ESCRIBIENDO DE LA EMPRESA ZINJOLI NECESITO SUS SERVICIOS",,Greeting,,,,
"BUENAS TARDES
LE SALUDO DE LA EMPRESA SERODU
NECESITO UNA COTIZACION DE ESTUDIO ACTURIAL
ME PUEDE AYUDAR X FAVOR",,Jubilacion Patronal,,,,
"BUENAS TARDES
POR FAVOR AYUDEME CON INFORMACIÓN",,Greeting,,,,
"Buenas tardes!
Por favor me pueden decir si: ¿es posible pedirle a un trabajador, con más de 26 años de servicio, que haga uso de su derecho de jubilación patronal, sin ningún pago por despido?
Gracias por su colaboración

Carmenza",,Renuncia/Despido/Desahucio,,,,ambivalente
"Buenas tardes!
Por favor me pueden decir si: ¿es posible pedirle a un trabajador, con más de 26 años de servicio, que haga uso de su derecho de jubilación patronal, sin ningún pago por despido?
Gracias por su colaboración

Carmenza",,Jubilacion Patronal,,,,ambivalente
"Buenas tardes, a partir de cuantos empleados se debe de realizar el estudio actuarial?",,Jubilacion Patronal,persona,0,,
"buenas tardes, acabo de enviar un correo a Daniela Sosa para cotizar un calculo actuarial de una sociedad S.A.",,Jubilacion Patronal,,,,
"Buenas tardes, como calculo el valor que debo pagar de jubilacion patronal",,Jubilacion Patronal,persona,0,,
"Buenas tardes, como hago para hacer llegar mi CV y formar parte de esta gran institución?",,trabaje con nosotros,,,,
"buenas tardes, cual es el valor de sus servicios para el calculo de liquidacion por renuncia voluntaria y de jubilacin patronal para una empleada domestica que ha servido 26 años?",,Jubilacion Patronal,,,,ambivalente
"buenas tardes, cual es el valor de sus servicios para el calculo de liquidacion por renuncia voluntaria y de jubilacin patronal para una empleada domestica que ha servido 26 años?",,Renuncia/Despido/Desahucio,,,,ambivalente
"buenas tardes, disculpe Actuaria realiza  cursos de capacitacion en temas de finanzas ??",,Charlas/Capacitaciones,,,,
"buenas tardes, disculpe Actuaria realiza jornadas de seminarios o cursos dirigidos a profesionales o al publico en general ??",,Charlas/Capacitaciones,,,,
"Buenas tardes, hace 2 días no llego mi periodo, me hice una prueba de farmacia que dio positivo. Me quedé sin empleo en Enero de este año. Todavía habrá la posibilidad de contratar un seguro privado que me cubra el parto",,Consultoria,,,,
"Buenas tardes, hace unos meses solicite una cotización, por favor comuníquese conmigo para hablar del tema por favor 0997099659",,Contacto,,,,
"buenas tardes, me podrían ayudar con una inquietud por favor. En que momento una compañía debe realizar las provisiones por jubilación y desahucio",,Jubilacion Patronal,persona,0,,ambivalente
"buenas tardes, me podrían ayudar con una inquietud por favor. En que momento una compañía debe realizar las provisiones por jubilación y desahucio",,Renuncia/Despido/Desahucio,persona,0,,ambivalente
"Buenas tardes, mi nombre es Luz López de GRUPOK S. A. y estoy interesada en asistir a la charla el día 18/06/2019, pero veo que ya no hay cupos? lastimosamente me demoré porque solicité la autorización de la Gerente que no me contestó pronto, no e si hay como me ayuden. Gracias.","Buenos días estimada Luz, enviaré su solicitud a su ejecutivo comercial: ventas1@actuaria.com.ec para ubicarla en lista de espera, gracias por escribirnos",Charlas/Capacitaciones,empresa,0,,
"Buenas tardes, mi padre tiene 76 años de edad y tiene 109 imposiciones. puede afiliarse nuevamente para que acceda a la jubilación. Como trabajó hace muchos años ganaba en sucres por lo que el promedio de sus aportes es de no mas de 8 (ocho) dólares. QUE PUEDO HACER ?????",,IESS,,,,ambivalente
"Buenas tardes, mi padre tiene 76 años de edad y tiene 109 imposiciones. puede afiliarse nuevamente para que acceda a la jubilación. Como trabajó hace muchos años ganaba en sucres por lo que el promedio de sus aportes es de no mas de 8 (ocho) dólares. QUE PUEDO HACER ?????",,Jubilacion Patronal,,,,ambivalente
"BUENAS TARDES, NECESITO QUE ME AYUDEN CON UN ESTUDIO ACTUARIAL PARA UNA EMPRESA QUE AL MOMENTO CUENTA CON 8 EMPLEADOS , ME PUEDEN INDICAR QUE SE NECESITA, UNA COTIZACIÓN, Y UN TIEMPO ESTIMADO DE ENTREGA. MUCHAS GRACIAS","Buenos días 
me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos ",Jubilacion Patronal,empresa,0,,
"buenas tardes, por favor requiero una cotización.",,Greeting,,,,
"buenas tardes, queria hacer una xconsulta",,Greeting,,,,
"Buenas tardes, quisiera informacion sobre alguna asesoria/curso/evento que puedan realizar dentro de una empresa pequeña de 10 empleados para mejorar el clima laboral.",,Charlas/Capacitaciones,,,,ambivalente
"Buenas tardes, quisiera informacion sobre alguna asesoria/curso/evento que puedan realizar dentro de una empresa pequeña de 10 empleados para mejorar el clima laboral.",,Consultoria,,,,ambivalente
"buenas tardes, sres de Actuaria, soy de la empresa Cedimportsa, y quisiera cotizar sus servicios para un estudio actuarial",,Jubilacion Patronal,,,,
"Buenas tardes, tengo una consulta",,Greeting,,,,
"Buenas tardes, tengo una consulta, si una persona jubilada quiere volver a trabajar cual sería el porcentaje de aportación al iess ahora?",,IESS,persona,0,,
"Buenas tardes,somos de Servicios Petroleros Galeth, solicitamos la base legal  que respalde que las empresas deben presentar estudios actuariales, gracias.",,Jubilacion Patronal,empresa,0,,
buenas tardes. por favor me podria informar cuanto se recibe de jubilacion por invalidez cumpliendo las 60 aportaciones. gracias,,IESS,persona,0,,
